epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71858,2.71065,4.20042,1.17595,0.00024,0.00038,0.00012,6e-05,2.44363,4.08365,0.96717,0.00012861,0.00012861,0.00012861
2,4.15156,2.5559,3.25926,0.97476,0.01372,0.02189,0.01553,0.00468,2.64843,3.74784,0.95228,0.000268822,0.000268822,0.000268822
3,5.61577,2.41215,2.44236,0.96021,0.08628,0.19556,0.07495,0.02949,2.19271,3.19811,0.90364,0.000406205,0.000406205,0.000406205
4,6.91076,2.32458,2.11671,0.95298,0.11135,0.28631,0.17055,0.06083,2.34106,2.73444,0.92232,0.000540758,0.000540758,0.000540758
5,8.26962,2.3221,1.96786,0.95483,0.14585,0.37292,0.20906,0.09026,2.10915,2.3514,0.90792,0.000672482,0.000672482,0.000672482
6,9.57474,2.28341,1.81595,0.93739,0.16851,0.43402,0.23716,0.09351,2.25213,2.19259,0.91439,0.000801376,0.000801376,0.000801376
7,10.8084,2.26984,1.74126,0.93837,0.1924,0.49395,0.27405,0.12619,2.07866,2.02486,0.90796,0.000927441,0.000927441,0.000927441
8,12.0839,2.21742,1.64387,0.94281,0.23563,0.49272,0.29739,0.12857,2.13442,2.02263,0.90608,0.00105068,0.00105068,0.00105068
9,13.3663,2.27603,1.61203,0.94446,0.31864,0.4422,0.34483,0.15618,2.04636,1.86024,0.90494,0.00117108,0.00117108,0.00117108
10,14.6426,2.24005,1.56295,0.94857,0.40369,0.40052,0.36492,0.16878,2.08634,1.64571,0.93174,0.00128866,0.00128866,0.00128866
11,15.8761,2.14497,1.47813,0.93943,0.40833,0.47216,0.38372,0.16565,2.06562,1.63944,0.8998,0.00128753,0.00128753,0.00128753
12,17.2153,2.21266,1.50221,0.93112,0.40863,0.50582,0.36635,0.16256,2.03953,1.50536,0.91015,0.00127338,0.00127338,0.00127338
13,18.4475,2.09208,1.43007,0.9358,0.41048,0.54848,0.40666,0.18176,1.98349,1.36708,0.89945,0.00125923,0.00125923,0.00125923
14,19.7276,2.1217,1.41247,0.92701,0.366,0.54317,0.40023,0.18266,1.96801,1.29776,0.89701,0.00124509,0.00124509,0.00124509
15,21.0093,2.16067,1.41184,0.92959,0.36066,0.529,0.41904,0.18506,1.98826,1.31772,0.8937,0.00123094,0.00123094,0.00123094
16,22.2782,2.12132,1.39522,0.92747,0.38928,0.54047,0.42349,0.17818,2.0226,1.39003,0.88746,0.00121679,0.00121679,0.00121679
17,23.4861,2.06965,1.37061,0.91869,0.42126,0.55987,0.4393,0.20375,1.90832,1.29359,0.88695,0.00120265,0.00120265,0.00120265
18,24.7381,2.08916,1.35719,0.93181,0.4203,0.55781,0.43554,0.20045,1.92721,1.31403,0.88938,0.0011885,0.0011885,0.0011885
19,25.9838,2.0676,1.32963,0.91912,0.44862,0.5867,0.46224,0.21729,1.88512,1.30383,0.88284,0.00117435,0.00117435,0.00117435
20,27.2639,2.06421,1.3597,0.93101,0.47524,0.6,0.47753,0.22355,1.90558,1.324,0.88824,0.00116021,0.00116021,0.00116021
21,28.5106,2.08786,1.33548,0.92581,0.50285,0.60357,0.51425,0.23817,1.87725,1.29562,0.88071,0.00114606,0.00114606,0.00114606
22,29.7975,2.021,1.329,0.90915,0.52339,0.62229,0.53185,0.25263,1.85585,1.2801,0.88117,0.00113191,0.00113191,0.00113191
23,31.0529,2.04428,1.30714,0.91672,0.53468,0.60352,0.52738,0.24298,1.88656,1.34619,0.88228,0.00111776,0.00111776,0.00111776
24,32.3106,2.03536,1.30634,0.91993,0.54519,0.62005,0.5499,0.25264,1.87562,1.23362,0.88182,0.00110362,0.00110362,0.00110362
25,33.5616,2.05177,1.31948,0.92374,0.52105,0.60679,0.51649,0.22577,1.98689,1.33322,0.88652,0.00108947,0.00108947,0.00108947
26,34.81,2.0512,1.30497,0.91959,0.56,0.60449,0.53527,0.24767,1.94265,1.13385,0.9017,0.00107532,0.00107532,0.00107532
27,36.0431,2.06631,1.31361,0.92116,0.56912,0.60666,0.54865,0.25589,1.89926,1.13119,0.89371,0.00106118,0.00106118,0.00106118
28,37.3021,2.02604,1.28122,0.91491,0.52134,0.6069,0.50897,0.23368,1.92948,1.25369,0.89778,0.00104703,0.00104703,0.00104703
29,38.5292,2.03308,1.27175,0.91821,0.58774,0.62325,0.57723,0.26953,1.85392,1.16754,0.8775,0.00103288,0.00103288,0.00103288
30,39.7885,1.99058,1.27499,0.91353,0.56057,0.62057,0.54549,0.25281,1.89738,1.16765,0.89585,0.00101873,0.00101873,0.00101873
31,41.0067,2.00531,1.24895,0.91656,0.56405,0.63575,0.57284,0.25095,1.89382,1.13455,0.87831,0.00100459,0.00100459,0.00100459
32,42.2681,2.02153,1.26773,0.90959,0.53714,0.64091,0.5598,0.26006,1.84659,1.16943,0.87686,0.00099044,0.00099044,0.00099044
33,43.5349,1.99957,1.26412,0.91149,0.56888,0.6152,0.57292,0.24465,1.9167,1.19419,0.87716,0.000976293,0.000976293,0.000976293
34,44.823,1.97793,1.23358,0.91053,0.58105,0.65521,0.59653,0.282,1.81439,1.12002,0.8736,0.000962146,0.000962146,0.000962146
35,46.0654,1.98781,1.24392,0.91281,0.57261,0.66706,0.59369,0.27849,1.81562,1.09788,0.87106,0.000947999,0.000947999,0.000947999
36,47.3057,1.95799,1.21905,0.91485,0.59769,0.6517,0.59664,0.28547,1.81859,1.06372,0.87973,0.000933851,0.000933851,0.000933851
37,48.6059,2.03044,1.25347,0.91927,0.60665,0.63955,0.5986,0.27466,1.8332,1.09496,0.87461,0.000919704,0.000919704,0.000919704
38,49.8447,1.96988,1.24069,0.8995,0.60002,0.65059,0.60132,0.27489,1.87508,1.08308,0.88229,0.000905557,0.000905557,0.000905557
39,51.0419,1.97049,1.20779,0.90412,0.60239,0.6556,0.60846,0.28986,1.80073,1.08186,0.87204,0.00089141,0.00089141,0.00089141
40,52.2965,1.94846,1.19327,0.90281,0.6209,0.63875,0.60649,0.2854,1.83669,1.07585,0.88111,0.000877263,0.000877263,0.000877263
41,53.5114,2.00057,1.22455,0.92131,0.62146,0.64673,0.61887,0.29572,1.79669,1.06837,0.87344,0.000863116,0.000863116,0.000863116
42,54.7428,1.93715,1.20329,0.91264,0.61568,0.64905,0.60219,0.28158,1.81403,1.09302,0.8758,0.000848969,0.000848969,0.000848969
43,55.9666,1.96495,1.2134,0.9101,0.60416,0.65612,0.60006,0.27932,1.82193,1.10556,0.87529,0.000834822,0.000834822,0.000834822
44,57.1901,1.94784,1.22969,0.90845,0.61722,0.65281,0.61769,0.29238,1.79963,1.08297,0.87223,0.000820675,0.000820675,0.000820675
45,58.4453,1.92642,1.17666,0.89196,0.62685,0.64247,0.62116,0.2898,1.82505,1.09402,0.87233,0.000806528,0.000806528,0.000806528
46,59.6881,1.93199,1.2006,0.90805,0.62419,0.64459,0.61805,0.29206,1.81865,1.05042,0.87543,0.00079238,0.00079238,0.00079238
47,60.897,1.93786,1.18433,0.90306,0.61202,0.63694,0.61074,0.27286,1.8783,1.09742,0.87428,0.000778233,0.000778233,0.000778233
48,62.1331,1.96253,1.21404,0.90197,0.61351,0.65088,0.61776,0.29775,1.79839,1.04742,0.87317,0.000764086,0.000764086,0.000764086
49,63.3469,2.00679,1.19874,0.90876,0.61633,0.64982,0.61889,0.29954,1.79173,1.05257,0.87285,0.000749939,0.000749939,0.000749939
50,64.5891,1.90022,1.21341,0.91468,0.62273,0.63204,0.6085,0.2811,1.84648,1.11638,0.87263,0.000735792,0.000735792,0.000735792
51,65.7879,1.97301,1.20697,0.9006,0.61307,0.64657,0.60608,0.28768,1.8113,1.11238,0.87149,0.000721645,0.000721645,0.000721645
52,67.0041,1.89377,1.16131,0.90004,0.60826,0.66133,0.6209,0.2974,1.78561,1.04109,0.87231,0.000707498,0.000707498,0.000707498
53,68.2046,1.91195,1.17089,0.8995,0.60877,0.66021,0.62137,0.2989,1.79466,1.0483,0.87445,0.000693351,0.000693351,0.000693351
54,69.437,1.91986,1.16964,0.90807,0.6167,0.63675,0.59924,0.28283,1.85062,1.07671,0.88278,0.000679204,0.000679204,0.000679204
55,70.6341,1.91148,1.16702,0.9108,0.59749,0.64895,0.59288,0.2864,1.8049,1.073,0.87765,0.000665057,0.000665057,0.000665057
56,71.8419,1.94858,1.22767,0.90684,0.60479,0.64896,0.5959,0.27672,1.81365,1.10301,0.86944,0.000650909,0.000650909,0.000650909
57,73.046,1.91452,1.20307,0.89218,0.61692,0.6471,0.60495,0.2942,1.77874,1.06543,0.86915,0.000636762,0.000636762,0.000636762
58,74.2805,1.89778,1.17743,0.90508,0.58037,0.64264,0.58972,0.28369,1.79097,1.14018,0.8713,0.000622615,0.000622615,0.000622615
59,75.4812,1.89391,1.17299,0.90836,0.58944,0.64074,0.60106,0.26579,1.8721,1.10506,0.87175,0.000608468,0.000608468,0.000608468
