epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7936,1.91492,2.06081,1.14472,0.00245,0.0075,0.00125,0.00042,1.96508,inf,1.20864,0.000466807,0.000466807,0.000466807
2,52.2,1.84786,1.50954,1.12546,0.23539,0.32767,0.16347,0.08112,nan,nan,nan,0.000936915,0.000936915,0.000936915
3,75.9048,1.93204,1.60278,1.15138,0,0,0,0,nan,nan,nan,0.00140074,0.00140074,0.00140074
4,98.0103,2.15264,1.60058,1.20632,0.00054,0.00242,0.00028,0.00011,nan,nan,nan,0.00140071,0.00140071,0.00140071
5,120.601,2.00172,1.56858,1.1914,0.00181,0.00831,0.00091,0.00037,2.51196,inf,9.97636,0.00139127,0.00139127,0.00139127
6,140.018,1.99484,1.90707,1.19528,0.51575,0.29435,0.2854,0.13075,nan,nan,nan,0.00138184,0.00138184,0.00138184
7,162.162,2.06593,1.49781,1.20097,0.16711,0.02623,0.0263,0.01305,3.23179,inf,31.573,0.00137241,0.00137241,0.00137241
8,183.305,1.93714,1.39239,1.16068,0.57139,0.57304,0.54475,0.24996,1.88418,1.46625,1.16461,0.00136298,0.00136298,0.00136298
9,204.789,1.95764,1.45384,1.16479,0.58416,0.63632,0.58806,0.27032,1.83432,1.32046,1.13796,0.00135355,0.00135355,0.00135355
10,226.017,1.86814,1.34887,1.10444,0.58768,0.64432,0.60506,0.287,1.80031,1.27552,1.11699,0.00134412,0.00134412,0.00134412
11,247.28,1.84381,1.335,1.132,0.61003,0.68778,0.64234,0.30602,1.79193,1.18977,1.11449,0.00133469,0.00133469,0.00133469
12,266.902,1.84873,1.34575,1.12888,0.57175,0.4771,0.48237,0.2311,1.91278,1.37143,1.19311,0.00132525,0.00132525,0.00132525
13,286.717,1.82013,1.2723,1.1031,0.60831,0.50123,0.50008,0.2412,1.80982,1.24733,1.1288,0.00131582,0.00131582,0.00131582
14,307.41,1.83305,1.27741,1.11784,0.61977,0.58172,0.5741,0.26515,1.87996,1.32179,1.14449,0.00130639,0.00130639,0.00130639
15,328.05,1.8784,1.30057,1.14394,0.58723,0.65276,0.61662,0.27174,1.88814,1.29891,1.12695,0.00129696,0.00129696,0.00129696
16,348.648,1.84524,1.28877,1.12536,0.61907,0.66489,0.63701,0.29657,1.8176,1.19856,1.10998,0.00128753,0.00128753,0.00128753
17,369.217,1.81478,1.26048,1.10866,0.622,0.6671,0.63763,0.30475,1.75606,1.20743,1.09394,0.0012781,0.0012781,0.0012781
18,389.847,1.82359,1.2287,1.08545,0.60911,0.64314,0.62559,0.28924,1.80671,1.23918,1.10839,0.00126867,0.00126867,0.00126867
